Industry,Material_Name,Material_Type,Product,Weight_or_Capacity,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percentage,Data_Source,Weight_kg,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score,Industry_encoded,Material_Type_encoded,Product_encoded,Data_Source_encoded,Weight_Normalized,Eco_Score,Circular_Economy_Score
Construction,PLA Bioplastic,Bioplastic,Furniture panel,9.29 kg,0.6400000000000001,0.0,0.896551724137931,Carbon Catalogue,0.1825667804780076,0.8455172413793104,0.8174332195219924,0.775436862408322,1,0,3,0,0.18256678047800762,0.8146206896551724,0.7939310344827586
Electronics,Molded Pulp,Paper,Toy casing,23.48 kg,0.7600000000000002,0.7428571428571429,0.1379310344827586,OpenLCA Sample,0.4675637678248644,0.3850246305418719,0.5324362321751356,0.5417407218692896,3,5,8,2,0.46756376782486453,0.410600985221675,0.3867586206896553
Home Appliances,Cotton Fiber,Natural Material,Toy casing,8.45 kg,0.1466666666666667,0.8428571428571427,0.2413793103448275,Sustainability Dataset,0.1656959228760795,0.1817296113847838,0.8343040771239205,0.3669830676910897,6,4,8,3,0.16569592287607954,0.18664696223316912,0.20349425287356318
Healthcare,Molded Pulp,Paper,Electronic enclosure,6.33 kg,0.8,0.5857142857142856,0.2241379310344827,Sustainability Dataset,0.1231170917854991,0.4794745484400657,0.8768829082145009,0.6948546918403765,5,5,1,3,0.12311709178549912,0.492512315270936,0.45448275862068965
Furniture,Kraft Paper,Paper,Cosmetic wrap,20.71 kg,0.8133333333333335,0.8428571428571427,0.2758620689655171,Carbon Catalogue,0.4119301064470777,0.4154460864805693,0.5880698935529223,0.5865994026581044,4,5,0,0,0.41193010644707784,0.46710673234811173,0.4908505747126437
Electronics,Kraft Paper,Paper,Shipping carton,38.55 kg,0.9066666666666667,0.5857142857142856,0.293103448275862,FootprintData,0.7702349869451696,0.5380186097427476,0.2297650130548304,0.5561369478135483,3,5,6,1,0.7702349869451698,0.5627651888341544,0.5385287356321838
Automotive,Kraft Paper,Paper,Packaging box,15.05 kg,0.1466666666666667,0.5142857142857142,0.6551724137931034,Carbon Catalogue,0.2982526611769432,0.429184455391352,0.7017473388230568,0.4261979838034579,0,5,5,0,0.29825266117694327,0.41787848932676525,0.4517701149425287
Furniture,Cotton Fiber,Natural Material,Toy casing,9.84 kg,0.8266666666666669,0.7285714285714286,0.2586206896551724,Sustainability Dataset,0.1936131753364129,0.4522386425834702,0.8063868246635871,0.6708115044324643,4,4,8,3,0.19361317533641295,0.48840065681445,0.4858390804597702
Automotive,PLA Bioplastic,Bioplastic,Medical packaging,4.48 kg,0.52,0.1,0.2586206896551724,Sustainability Dataset,0.08596103635268126,0.5595402298850575,0.9140389636473187,0.6540277810482187,0,0,4,3,0.08596103635268128,0.49144827586206896,0.36317241379310344
Cosmetics,Cotton Fiber,Natural Material,Electronic enclosure,16.07 kg,0.2933333333333334,0.9714285714285715,0.8793103448275861,OpenLCA Sample,0.318738702550713,0.4004050355774493,0.6812612974492871,0.4525404034657659,2,4,1,2,0.31873870255071307,0.4747717569786535,0.6449195402298851
Toys,Aluminum Foil,Metal,Furniture panel,8.23 kg,0.6800000000000002,0.3285714285714286,0.1724137931034482,Carbon Catalogue,0.1612773649327174,0.5079474548440066,0.8387226350672826,0.6587957724577874,8,2,3,0,0.16127736493271744,0.47525123152709364,0.37544827586206897
Construction,Recycled Cardboard,Cardboard,Food container,28.92 kg,0.8800000000000001,0.5285714285714285,0.6896551724137931,FootprintData,0.5768226551516369,0.680361247947455,0.4231773448483631,0.663097702633491,1,1,2,1,0.576822655151637,0.7221477832512317,0.7657931034482759
Cosmetics,Aluminum Foil,Metal,Shipping carton,44.76 kg,0.1200000000000001,0.657142857142857,0.3275862068965516,OpenLCA Sample,0.8949588270737094,0.2634811165845649,0.1050411729262906,0.1729047985117131,2,2,6,2,0.8949588270737097,0.24760591133004928,0.244551724137931
Cosmetics,Recycled Paper,Paper,Cosmetic wrap,3.37 kg,0.9333333333333336,0.4142857142857143,0.3103448275862069,Carbon Catalogue,0.06366740309299056,0.6097974822112754,0.9363325969070094,0.8048187719566131,2,5,0,0,0.06366740309299057,0.6146141215106734,0.5595402298850576
Home Appliances,Recycled Cardboard,Cardboard,Toy casing,25.19 kg,0.8800000000000001,0.4999999999999999,0.603448275862069,FootprintData,0.5019080136573609,0.6611494252873563,0.4980919863426391,0.6778873660177342,6,1,8,1,0.501908013657361,0.6933793103448278,0.7140689655172414
Construction,Cornstarch Plastic,Bioplastic,Food container,3.3 kg,0.9733333333333334,0.7571428571428571,0.1724137931034482,OpenLCA Sample,0.06226149829282988,0.4628680897646415,0.9377385017071701,0.7584687864180075,1,0,2,2,0.06226149829282989,0.5068702791461412,0.49278160919540226
